Number,ID,Birth Place,Native Language,Other Language(s),Age,Sex,Age of Onset,Learning Method,English Residence,Length of Residence
129,492,"blackpool, lancashire, uk",english,korean indonesian polish french ,25,male,0,naturalistic,"uk, australia",25 years
130,496,"port elizabeth, south africa",english,afrikaans ,32,male,0,naturalistic,south africa,32 years
131,497,"west palm beach, florida, usa",english,none,23,male,0,naturalistic,usa,23 years
132,503,"toronto, ontario, canada",english,none,18,female,0,naturalistic,canada,18 years
133,504,"norwich, new york, usa",english,spanish ,36,female,0,naturalistic,usa,36 years
134,506,"belfast, northern ireland, uk",english,french ,22,female,0,naturalistic,uk,22 years
135,507,"orange beach, alabama, usa",english,none,22,male,0,naturalistic,usa,22 years
136,508,"calgary, alberta, canada",english,none,25,male,0,naturalistic,canada,25 years
137,509,"charleston, west virginia, usa",english,japanese ,26,male,0,naturalistic,usa,26 years
138,510,"palmer, alaska, usa",english,german ,25,female,0,naturalistic,usa,25 years
139,511,"providence, rhode island, usa",english,none,20,male,0,naturalistic,usa,20 years
140,515,"quezon city, philippines",english,tagalog ,43,male,0,naturalistic,"philippines,canada",43 years
141,516,"york, uk",english,french german ,19,male,0,naturalistic,uk,19 years
142,517,"avon, new york, usa",english,french ,19,male,0,naturalistic,usa,19 years
143,518,"minneapolis, minnesota, usa",english,french ,42,male,0,naturalistic,"usa, uk",42 years
144,519,"barneys river, nova scotia, canada",english,spanish ,24,male,0,naturalistic,canada,24 years
145,521,"bury st. edmunds, uk",english,none,18,male,0,naturalistic,uk,13 years
146,522,"blytheville, arkansas, usa",english,spanish ,22,male,0,naturalistic,usa,22 years
147,523,"merced, california, usa",english,portuguese ,40,female,0,naturalistic,usa,40 years
148,525,"sydney, australia",english,none,31,male,0,naturalistic,australia,31 years
149,526,"lawrenceville, georgia, usa",english,none,18,male,0,naturalistic,usa,18 years
150,527,"brownsville, kentucky, usa",english,spanish ,31,male,0,naturalistic,usa,31 years
151,528,"baltimore, maryland, usa",english,spanish ,18,male,0,naturalistic,usa,18 years
152,529,"adelaide, australia",english,none,18,male,0,naturalistic,australia,18 years
153,533,"brisbane, australia",english,none,35,male,0,naturalistic,australia,35 years
154,534,"glace bay, nova scotia, canada",english,none,28,male,0,naturalistic,canada,28 years
155,535,"oakland, california, usa",english,none,35,male,0,naturalistic,usa,35 years
156,536,"dublin, ireland",english,mandarin french irish ,33,male,0,naturalistic,ireland,33 years
157,538,"fort worth, texas, usa",english,none,35,male,0,naturalistic,usa,35 years
158,540,"washington, district of columbia, usa",english,spanish german ,18,female,0,naturalistic,usa,18 years
159,541,"ottawa, ontario, canada",english,none,18,male,0,naturalistic,canada,18 years
160,542,"redwood falls, minnesota, usa",english,none,21,female,0,naturalistic,usa,21 years
161,546,"wakefield, ohio, usa",english,none,75,female,0,naturalistic,usa,75 years
162,548,"delaware, ohio, usa",english,none,41,female,0,naturalistic,usa,39 years
163,547,"fairview park, ohio, usa",english,german dutch ,41,male,0,naturalistic,usa,39 years
164,549,"leeds, uk",english,none,38,male,0,naturalistic,uk,38 years
165,550,"detroit, michigan, usa",english,french spanish german ,43,female,0,naturalistic,usa,43 years
166,551,"glenside, pennsylvania, usa",english,spanish ,18,male,0,naturalistic,usa,18 years
167,552,"lakeview, michigan, usa",english,spanish ,43,male,0,naturalistic,usa,43 years
168,554,"oceanside, california, usa",english,german ,40,male,0,naturalistic,usa,25 years
169,555,"cleveland, mississippi, usa",english,spanish esperanto ,18,male,0,naturalistic,usa,18 years
170,556,"belmont, mississippi, usa",english,none,50,female,0,naturalistic,usa,50 years
171,563,"st. louis, missouri, usa",english,french spanish italian ,21,male,0,naturalistic,usa,21 years
172,564,"kingston, jamaica",english,none,49,male,0,naturalistic,"jamaica, uk",49 years
173,567,"libertyville, illinois, usa",english,none,19,male,0,naturalistic,usa,19 years
174,568,"kuching, sarawak, malaysia",english,malay chinese ,30,female,0,naturalistic,"australia, singapore",12 years
175,572,"seattle, washington, usa",english,mandarin ,24,male,0,naturalistic,usa,21 years
176,573,"elizabeth city, north carolina, usa",english,spanish french afrikaans ,18,female,0,naturalistic,usa,18 years
177,574,"new orleans, louisiana, usa",english,none,23,female,0,naturalistic,usa,23 years
178,583,"wilkes-barre, pennsylvania, usa",english,none,30,male,0,naturalistic,usa,30 years
179,584,"huron, south dakota, usa",english,german russian ,57,male,0,naturalistic,usa,55 years
180,585,"newport, rhode island, usa",english,none,20,male,0,naturalistic,usa,20 years
181,586,"new eagle, pennsylvania, usa",english,none,68,male,0,naturalistic,usa,68 years
182,590,"troy, new york, usa",english,italian spanish ,50,male,0,naturalistic,usa,50 years
183,595,"corriverton, guyana",english,hindi ,55,female,0,naturalistic,"guyana, usa",55 years
184,597,"hillsboro, oregon, usa",english,spanish ,18,female,0,naturalistic,usa,18 years
185,604,"oxford, uk",english,spanish ,38,male,0,naturalistic,canada,36 years
186,605,"gadsden, alabama, usa",english,none,39,female,0,naturalistic,usa,39 years
187,606,"algona, iowa, usa",english,none,42,female,0,naturalistic,usa,42 years
188,611,"edinburgh, scotland, uk",english,none,35,male,0,naturalistic,uk,35 years
189,617,"grand forks, north dakota, usa",english,none,19,male,0,naturalistic,usa,19 years
190,618,"oak park, illinois, usa",english,spanish koine greek ,27,male,0,naturalistic,usa,28 years
191,631,"las cruces, new mexico, usa",english,mandarin russian german ,19,male,0,naturalistic,usa,19 years
192,636,"east lansing, michigan, usa",english,none,27,female,0,naturalistic,usa,27 years
193,637,"honolulu, hawaii, usa",english,none,32,male,0,naturalistic,usa,32 years
194,638,"manchester, england, uk",english,none,19,male,0,naturalistic,uk,19 years
195,639,"delavan, wisconsin, usa",english,french russian german norwegian ,21,female,0,naturalistic,usa,21 years
196,654,"suva, fiji",english,fijian hindi french ,50,female,0,naturalistic,"fiji, usa",50 years
197,662,"iowa city, iowa, usa",english,none,22,male,0,naturalistic,usa,22 years
198,663,"washington, district of columbia, usa",english,none,56,male,0,naturalistic,usa,56 years
199,664,"bay shore, new york, usa",english,none,25,male,0,naturalistic,usa,25 years
200,667,"berkeley, california, usa",english,spanish ,22,female,0,naturalistic,usa,22 years
201,668,"warren, michigan, usa",english,polish ,26,female,0,naturalistic,usa,26 years
202,673,"crisfield, maryland, usa",english,esperanto ,19,male,0,naturalistic,usa,19 years
203,674,"boston, massachusetts, usa",english,german french ,63,female,0,naturalistic,usa,31 years
204,678,"chicago, illinois, usa",english,french german ,53,male,0,naturalistic,usa,49 years
205,679,"blue earth, minnesota, usa",english,none,45,female,0,naturalistic,usa,45 years
206,680,"hucknall, nottinghamshire, england, uk",english,slovenian ,35,female,0,naturalistic,uk,35 years
207,684,"wilkes-barre, pennsylvania, usa",english,spanish ,23,female,0,naturalistic,usa,23 years
208,695,"washington, dc, usa",english,none,46,male,0,naturalistic,usa,29 years
209,702,"saint johns, antigua and barbuda",english,antigua and barbuda creole english french ,28,female,0,naturalistic,"antigua and barbuda, usa",28 years
210,705,"trenton, nova scotia, canada",english,french ,23,female,0,naturalistic,canada,23 years
211,720,"worcester, massachusetts, usa",english,none,30,male,0,naturalistic,usa,30 years
212,729,"spartanburg, south carolina, usa",english,none,24,male,0,naturalistic,usa,24 years
213,734,"dodge city, kansas, usa",english,none,38,male,0,naturalistic,usa,38 years
214,737,"myrtle beach, south carolina, usa",english,spanish ,26,male,0,naturalistic,usa,26 years
215,738,"lemington spa, warwickshire, uk",english,spanish italian yiddish ,20,male,0,naturalistic,"uk, ireland, usa",20 years
216,739,"chicago, illinois, usa",english,spanish ,48,female,0,naturalistic,usa,48 years
217,740,"harrow, middlesex, uk",english,french german spanish italian japanese ,66,male,0,naturalistic,"uk, usa",66 years
218,747,"abingdon, virginia, usa",english,latin spanish ,27,female,0,naturalistic,usa,27 years
219,748,"oakland, california, usa",english,spanish ,38,female,0,naturalistic,usa,38 years
220,749,"anaheim, california, usa",english,none,18,female,0,naturalistic,usa,18 years
221,754,"london, uk",english,yoruba ,45,male,0,naturalistic,"uk, australia, usa",45 years
222,764,"auburn, indiana, usa",english,none,18,female,0,naturalistic,usa,18 years
223,767,"erie, pennsylvania, usa",english,none,18,male,0,naturalistic,usa,18 years
224,768,"bridgetown, barbados",english,spanish french ,20,male,0,naturalistic,barbados,20 years
225,771,"dundee, scotland, uk",english,italian ,50,male,0,naturalistic,"scotland, usa",50 years
226,772,"walton-on-thames, surrey, uk",english,none,38,male,0,naturalistic,"uk, usa",38 years
227,773,"camberley, surrey, uk",english,none,42,female,0,naturalistic,"uk, usa",42 years
228,774,"glasgow, scotland, uk",english,french german krio ,59,female,0,naturalistic,"scotland, usa, sierra leone",59 years
229,775,"burlington, vermont, usa",english,french ,25,male,0,naturalistic,usa,25 years
230,776,"launceston, tasmania, australia",english,none,35,male,0,naturalistic,australia,35 years
231,791,"tampa, florida, usa",english,spanish ,22,male,0,naturalistic,usa,22 years
232,798,"metairie, louisiana, usa",english,italian spanish ,32,female,0,naturalistic,usa,32 years
233,793,"edmonton, alberta, canada",english,french ,26,female,0,naturalistic,canada,26 years
234,794,"bloomington, indiana, usa",english,portuguese spanish american sign language ,49,male,0,naturalistic,usa,49 years
235,795,"richmond, virginia, usa",english,spanish ,52,female,0,naturalistic,usa,52 years
236,799,"st. charles, illinois, usa",english,german french ,44,male,0,naturalistic,usa,34 years
237,801,"jeffersonville, ohio, usa",english,spanish ,22,female,0,naturalistic,usa,22 years
238,802,"vancouver, british  columbia, canada",english,german french japanese ,21,female,0,naturalistic,canada,21 years
239,803,"fort kobbe, panama",english,japanese punjabi ,19,male,0,naturalistic,usa,18 years
240,815,"guelph, ontario, canada",english,french ,26,male,0,naturalistic,canada,26 years
241,817,"wanganui, new zealand",english,italian portuguese ,52,female,0,naturalistic,new zealand,29 years
242,818,"laurel, mississippi, usa",english,none,77,female,0,naturalistic,usa,77 years
243,820,"fredericton, new brunswick, canada",english,french ,27,male,0,naturalistic,canada,27 years
244,821,"san francisco, california, usa",english,spanish ,23,male,0,naturalistic,usa,13 years
245,824,"pittsburgh, pennsylvania, usa",english,japanese spanish ,25,male,0,naturalistic,usa,22 years
246,825,"los angeles, california, usa",english,none,32,male,0,naturalistic,usa,32 years
247,835,"prince rupert, british columbia, canada",english,japanese ,33,male,0,naturalistic,canada,25 years
248,840,"philadelphia, pennsylvania, usa",english,french ,18,female,0,naturalistic,usa,18 years
249,850,"boston, massachusetts, usa",english,spanish ,29,female,0,naturalistic,usa,29 years
250,852,"chester, england, uk",english,none,19,male,0,naturalistic,uk,19 years
251,855,"mt. kisco, new york, usa",english,french spanish italian japanese ,21,male,0,naturalistic,usa,21 years
252,856,"san jose ca, california, usa",english,german ,25,female,0,naturalistic,usa,25 years
253,857,"dublin, ireland",english,gaelic french ,21,male,0,naturalistic,ireland,21 years
254,858,"eugene, oregon, usa",english,spanish ,39,male,0,naturalistic,usa,39 years
255,859,"oamaru, new zealand",english,cantonese japanese ,24,female,0,naturalistic,new zealand,24 years
256,861,"laurinburg, north carolina, usa",english,none,23,male,0,naturalistic,usa,23 years
257,863,"san diego, california, usa",english,none,24,male,0,naturalistic,usa,24 years
258,869,"kilkenny, ireland",english,irish french german dutch spanish ,24,male,0,naturalistic,ireland,23 years
259,870,"singapore, singapore",english,mandarin cantonese hokkien ,23,male,0,naturalistic,singapore,23 years
260,871,"phoenix, arizona, usa",english,none,18,female,0,naturalistic,usa,18 years
261,875,"forestville, maryland, usa",english,spanish ,59,female,0,naturalistic,usa,59 years
262,876,"naylor, maryland, usa",english,german ,60,male,0,naturalistic,usa,60 years
263,884,"oak forest, illinois, usa",english,spanish ,21,male,0,naturalistic,usa,21 years
264,889,"freemont, california, usa",english,french german ,21,male,0,naturalistic,usa,21 years
265,890,"vancouver wa, washington, usa",english,korean german ,31,male,0,naturalistic,usa,27 years
266,899,"san diego, california, usa",english,french spanish ,18,male,0,,usa,18 years
267,900,"leeds, uk",english,french ,66,male,0,naturalistic,uk,66 years
268,901,"leeds, uk",english,french german ,67,female,0,naturalistic,uk,67 years
269,902,"adelaide, australia",english,french ,22,female,0,naturalistic,"australia, uk, usa",22 years
270,903,"cape town, south africa",english,afrikaans french ,29,male,0,naturalistic,south africa,29 years
271,904,"cape town, south africa",english,afrikaans french ,32,female,0,naturalistic,south africa,32 years
272,905,"dallas, texas, usa",english,spanish ,20,male,0,naturalistic,usa,20 years
273,907,"blue bell, pennsylvania, usa",english,german ,46,male,0,naturalistic,usa,46 years
274,909,"sydney, australia",english,hokkien mandarin ,25,female,0,naturalistic,australia,25 years
275,912,"clifton, new jersey, usa",english,none,20,female,0,naturalistic,usa,20 years
276,918,"chattanooga, tennessee, usa",english,none,50,female,0,naturalistic,usa,50 years
277,919,"hudson, new york, usa",english,german ,48,female,0,naturalistic,usa,42 years
278,921,"augusta, georgia, usa",english,none,18,female,0,naturalistic,usa,18 years
279,922,"singapore, singapore",english,mandarin hainanese ,30,female,0,naturalistic,singapore,30 years
280,935,"ramsey, isle of man",english,none,19,female,0,naturalistic,isle of man,19 years
281,937,"ramsey mn, minnesota, usa",english,french ,23,male,0,naturalistic,usa,23 years
282,939,"tampa, florida, usa",english,none,20,male,0,naturalistic,usa,20 years
283,951,"pelham, new york, usa",english,spanish ,18,male,0,naturalistic,usa,18 years
284,952,"gainesville, florida, usa",english,spanish ,33,male,0,naturalistic,usa,33 years
285,961,"melbourne, australia",english,none,50,male,0,naturalistic,"australia, hong kong, usa",50 years
286,977,"beaumont, texas, usa",english,french latin hebrew spanish ,21,female,0,naturalistic,usa,21 years
287,981,"singapore, singapore",english,cantonese mandarin japanese ,27,female,0,naturalistic,singapore,27 years
288,982,"st. louis, missouri, usa",english,none,26,female,0,naturalistic,usa,26 years
289,983,"fairfax, virginia, usa",english,italian spanish latin french ,19,female,0,naturalistic,usa,19 years
290,986,"duluth, georgia, usa",english,none,20,male,0,naturalistic,usa,20 years
291,1026,"belize city, belize",english,spanish creole dutch ,18,male,0,naturalistic,"belize, usa",18 years
292,1051,"kansas city, missouri, usa",english,none,38,male,0,naturalistic,usa,38 years
293,1052,"billings, montana, usa",english,none,22,female,0,naturalistic,usa,22 years
294,1060,"naracoorte, australia",english,indonesian french ,19,female,0,naturalistic,"australia, usa",19 years
295,1067,"airdrie, alberta, canada",english,french german italian ,25,male,0,naturalistic,canada,25 years
296,1070,"edmonton, alberta, canada",english,french ,18,female,0,naturalistic,canada,18 years
297,1071,"lindenhurst, new york, usa",english,german ,19,male,0,naturalistic,usa,19 years
298,1072,"lismore, new south wales, australia",english,none,22,male,0,naturalistic,australia,22 years
299,1075,"windsor, ontario, canada",english,japanese ,59,male,0,naturalistic,usa,59 years
300,1076,"dublin, ireland",english,irish ,18,male,0,naturalistic,ireland,18 years
301,1078,"toronto, ontario, canada",english,none,41,male,0,naturalistic,canada,41 years
302,1085,"melbourne, australia",english,finnish ,22,male,0,naturalistic,australia,22 years
303,1086,"anaheim, california, usa",english,arabic ,45,female,0,naturalistic,usa,45 years
304,1088,"clare, ireland",english,irish french ,20,female,0,naturalistic,ireland,20 years
305,1094,"la paz, bolivia",english,arabic spanish ,24,female,0,naturalistic,"uk, usa",7 years
306,1093,"london, uk",english,none,24,female,0,naturalistic,"uk, usa",24 years
307,1100,"alexandria, va, usa",english,spanish ,48,male,0,naturalistic,"usa, new zealand",48 years
308,1101,"cardiff, wales, uk",english,welsh ,34,male,0,naturalistic,"uk, new zealand",34 years
309,1105,"dunedin, new zealand",english,german french maori japanese ,44,female,0,naturalistic,new zealand,44 years
310,1108,"oxford, uk",english,punjabi ,37,female,0,naturalistic,"uk, usa",22 years
311,1110,"detroit, michigan, usa",english,none,38,female,0,naturalistic,usa,38 years
312,1113,"edmonton, alberta, canada",english,french ,40,female,0,naturalistic,canada,40 years
313,1119,"silver spring, maryland, usa",english,spanish ,28,male,0,naturalistic,usa,28 years
314,1120,"memphis, tennessee, usa",english,french ,26,female,0,naturalistic,usa,26 years
315,1121,"los angeles, california, usa",english,none,25,male,0,naturalistic,usa,25 years
316,1122,"sacramento, california, usa",english,none,33,male,0,naturalistic,usa,33 years
317,1132,"burlington, vermont, usa",english,none,26,male,0,naturalistic,usa,26 years
318,1137,"sarnia, ontario, canada",english,none,46,male,0,naturalistic,canada,46 years
319,1138,"grimsby, lincolnshire, uk",english,none,29,male,0,naturalistic,uk,29 years
320,1162,"maryland county, liberia",english,grebo ,59,female,0,naturalistic,"liberia, usa",59 years
321,1163,"brooklyn, new york, usa",english,yiddish french hebrew ,52,male,0,naturalistic,usa,52 years
322,1172,"yorkton, saskatchewan, canada",english,none,29,male,0,naturalistic,canada,29 years
323,1173,"regina, saskatchewan, canada",english,none,31,female,0,naturalistic,canada,31 years
324,1174,"st. marys, ontario, canada",english,french ,28,male,0,naturalistic,canada,28 years
325,1176,"reading, pennsylvania, usa",english,italian ,32,male,0,naturalistic,usa,32 years
326,1188,"fairborn, ohio, usa",english,none,53,male,0,naturalistic,usa,50 years
327,1205,"dunedin, florida, usa",english,none,27,male,0,naturalistic,usa,27 years
